CODERESP;SECURITYID;BIRTHYEARR;CONTROL1;CONTROL3;CONTROL3@;S11;POLINT;PART;NONVOTE_01;NONVOTE_02;NONVOTE_03;NONVOTE_04;NONVOTE_05;NONVOTE_06;NONVOTE_07;NONVOTE_08;NONVOTE_09;NONVOTE_10;NONVOTE_98;PARTY15;VOTE1;VOTE1A;VOTE1B;VOTE1C;IMPORTANCE1;REASON1ACC1;REASON1ACC1_01;REASON1ACC1_02;REASON1ACC1_03;REASON1ACC1_04;REASON1ACC1_05;REASON1ACC1_06;REASON2ACC1;REASON2ACC1_01;REASON2ACC1_02;REASON2ACC1_03;REASON2ACC1_04;REASON2ACC1_05;REASON1DEN1;REASON1DEN1_01;REASON1DEN1_02;REASON1DEN1_03;REASON1DEN1_04;REASON1DEN1_05;REASON1DEN1_06;REASON1DEN1_07;REASON2DEN1;REASON2DEN1_01;REASON2DEN1_02;REASON2DEN1_03;REASON2DEN1_04;REASON2DEN1_05;REASON2DEN1_06;VOTE2;VOTE2A;VOTE2B;VOTE2C;IMPORTANCE2;REASON1ACC2;REASON1ACC2_01;REASON1ACC2_02;REASON1ACC2_03;REASON2ACC2;REASON2ACC2_01;REASON2ACC2_02;REASON2ACC2_03;REASON1DEN2;REASON1DEN2_01;REASON1DEN2_02;REASON1DEN2_03;REASON2DEN2;REASON2DEN2_01;REASON2DEN2_02;REASON2DEN2_03;REASON2DEN2_04;REASON2DEN2_05;REASON2DEN2_06;VOTE3;VOTE3A;VOTE3B;VOTE3C;IMPORTANCE3;REASON1ACC3;REASON1ACC3_01;REASON1ACC3_02;REASON1ACC3_03;REASON1ACC3_04;REASON2ACC3;REASON2ACC3_01;REASON2ACC3_02;REASON2ACC3_03;REASON2ACC3_04;REASON1DEN3;REASON1DEN3_01;REASON1DEN3_02;REASON1DEN3_03;REASON1DEN3_04;REASON1DEN3_05;REASON1DEN3_06;REASON2DEN3;REASON2DEN3_01;REASON2DEN3_02;REASON2DEN3_03;REASON2DEN3_04;REASON2DEN3_05;VOTE4;VOTE4A;VOTE4B;VOTE4C;IMPORTANCE4;REASON1ACC4;REASON1ACC4_01;REASON1ACC4_02;REASON1ACC4_03;REASON1ACC4_04;REASON1ACC4_05;REASON2ACC4;REASON2ACC4_01;REASON2ACC4_02;REASON2ACC4_03;REASON2ACC4_04;REASON1DEN4;REASON1DEN4_01;REASON1DEN4_02;REASON1DEN4_03;REASON1DEN4_04;REASON2DEN4;REASON2DEN4_01;REASON2DEN4_02;REASON2DEN4_03;REASON2DEN4_04;REASON2DEN4_05;REASON2DEN4_06;TRUST_1;TRUST_2;TRUST_3;TRUST_4;TRUST_5;TRUST_7;TRUST_8;TRUST_9;TRUST_10;TRUST_16;TRUST_30;TRUST_49;TRUST_64;TRUST_65;TRUST_66;TRUST_67;LRSP;VALUE3;VALUE5;VALUE7;VALUE10;DIFFICUL1;DECTIME1;ARGU1_1;ARGU1_2;ARGU1_3;ARGU1_4;ARGU1_5;ARGU1_6;DIFFICUL2;DECTIME2;ARGU2_1;ARGU2_2;ARGU2_3;ARGU2_4;ARGU2_5;ARGU2_6;DIFFICUL3;DECTIME3;ARGU3_1;ARGU3_2;ARGU3_3;ARGU3_4;ARGU3_5;ARGU3_6;DIFFICUL4;DECTIME4;ARGU4_1;ARGU4_2;ARGU4_3;ARGU4_4;ARGU4_5;ARGU4_6;ZUSATZ1A241124;ZUSATZ2A241124;ZUSATZ3A241124_01;ZUSATZ3A241124_02;ZUSATZ3A241124_03;ZUSATZ3A241124_04;ZUSATZ3A241124_05;ZUSATZ3A241124_06;ZUSATZ3A241124_98;ZUSATZ3A241124@_05;ZUSATZ4A241124_1;ZUSATZ4A241124_2;ZUSATZ4A241124_3;ZUSATZ4A241124_4;ZUSATZ4A241124_5;ZUSATZ4A241124_6;ZUSATZ5A241124_01;ZUSATZ5A241124_02;ZUSATZ5A241124_03;ZUSATZ5A241124_04;ZUSATZ5A241124_05;ZUSATZ5A241124_06;ZUSATZ5A241124_07;ZUSATZ5A241124_08;ZUSATZ5A241124_98;ZUSATZ6A241124;ONLINE;MEDIAUSE_1;MEDIAUSE_2;MEDIAUSE_3;MEDIAUSE_4;MEDIAUSE_5;MEDIAUSE_6;MEDIAUSE_7;MEDIAUSE_8;MEDIAUSE_9;MEDIAUSE_10;MEDIAUSE_11;MEDIAUSE_12;MEDIAUSE_13;MEDIAUSE_14;MEDIAUSE_15;MEDIAUSE2_1;MEDIAUSE2_2;MEDIAUSE2_3;MEDIAUSE2_4;MEDIAUSE2_5;MEDIAUSE2_6;MEDIAUSE2_7;MEDIAUSE2_8;DISCUS;VOTEWIE;PART2;MEDHAUPT;PARTYA;CITIZENREPA;ORIGINPARENTS;CONFESSD;CONFESSR;CULT;EDUC;ACTI;ACTIPREV;S17JOBPOSITION;WORKLOAD;S17SECTOR;MAINEARNER;EDUCMAIN;ACTIMAIN;INCOME;INCOMEPRECARIAT;HABITAT;GEWVORL1;GEWVORL2;GEWVORL3;GEWVORL4;UNUSED
10033;20241124.60738.242;1957; ; ; ;2;1;1; ; ; ; ; ; ; ; ; ; ; ;1;1;4; ; ;10;Sicherung des Gütertransportes. Jedermann, der täglich im Stau auf der Autobahn steht, wird zum gleichen Schluss kommen.;301;502; ; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;6;Ich bin selber Liegenschaftenverwalterin und habe mit Problemen mit der Untermiete zu kämpfen;200;203; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;10;aus beruflichen Gründen;200; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ;0;Die Argumente, welche im Fernsehen erläutert wurden, welche helfen sollen, die Kostenexplosion in den Griff zu bekommen. Bin deshalb den Parolen von SVP und der Empfehlung des Bundesrates gefolgt.;905;902; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7;7;6;5;8;7;0;7;2;7;7;5;0;5;0;5;6;3;6;6;5;1;1;1;2;1;4;4;3;1;1;1;1;1;4;4;4;1;1;1;1;1;4;3;4;2;2;2;2;2;3;8;8;1;4;0;0;0;0;0;1;0; ;2;3;1;1;2;4;1;0;0;1;0;0;0;0;0;4;2;8;0;10;9;7;2;7;0;7;2;7;2;0;0;0;5;98;5;98;0;9;5;9;2;1;8; ;1;1;2;1;2;9;97;1; ;12;21;1;8; ; ;98;3;1;1,48626099552416;1,38549863555739;1,27811787416388;1,63811357627598;0
10036;20241124.66447.242;1949; ; ; ;2;2;1; ; ; ; ; ; ; ; ; ; ; ;9;1;8; ; ;0;Für die Tunnelsanierung wären die neuen Tunnels die bessere Lösung (??? Möglichkeit);100;900; ; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ;4;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ;2;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ;5;Ees muss im Gesundheitswesen doch endlich etwas passieren. Vor allem für die Familien.;408; ; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;5;3;5;4;5;1;2;2;1;1;8;3;3;1;8;1;1;1;2;3;3;1;2;8;8;2;8;3;4;1;2;3;8;3;8;2;8;2;4;1;0;0;0;0;0;0; ;98;2;4;98;1;4;1;1;0;0;0;0;1;0;0;2;3;10;9;8;7;0;0;0;98;0;0;0;0;0;0;0;98;98;98;98;98;98;98;98;3;1;7; ;1;1;1;1;1;9;98;98; ; ;10; ;3; ; ;2;1;1;,53279452443158;,507860381502329;,469039516245594;,587230605166402;0
10038;20241124.57611.242;1982; ; ; ;1;1;1; ; ; ; ; ; ; ; ; ; ; ;4;1;4; ; ;8;stetig steigende Einwohnerzahlen in CH = zwingender Ausbau der bestehenden Infrastruktur;309;300; ; ; ; ;Bundesrat und Parlament haben die Vorlage angenommen;905; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;5;Der Mieterschutz geht teilweise zu weit;502; ; ;Bundesrat und Parlament haben zugestimmt;905; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;5;Der Mieterschutz geht teilweise zuweit;401; ; ; ;Bundesrat und Parlament haben zugestimmt;905; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;5;Bundesrat und Parlament haben zugestimmt;905; ; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9;9;5;2;5;10;6;6;4;5;9;7;7;7;0;7;7;5;5;3;1;1;1;1;1;1;4;3;4;1;1;1;1;1;8;4;4;1;1;1;1;1;3;4;3;2;2;2;2;2;3;8;3;2;3;0;1;0;0;0;0;0; ;98;2;3;98;1;1;1;1;0;0;0;0;1;0;0;4;3;5;0;10;10;0;0;0;2;0;0;0;0;10;10;0;5;0;0;0;3;5;0;10;4;1;10; ;4;1;1;1;1;2;51;3; ;32;10;2;1; ; ;11;1;2;1,11101432100583;1,1725526083432;1,12705226296672;1,34786824135687;0
10040;20241124.65129.242;1955; ; ; ;1;2;1; ; ; ; ; ; ; ; ; ; ; ;16;2; ;4; ;5; ; ; ; ; ; ; ; ; ; ; ; ; ;Kosten;600; ; ; ; ; ; ; ;999; ; ; ; ; ;2; ;4; ;5; ; ; ; ; ; ; ; ; ;999; ; ; ;999; ; ; ; ; ;2; ;8; ;4; ; ; ; ; ; ; ; ; ; ; ;999; ; ; ; ; ; ;999; ; ; ; ;2; ;4; ;5; ; ; ; ; ; ; ; ; ; ; ; ;999; ; ; ; ;999; ; ; ; ; ;5;5;4;2;4;5;2;4;4;6;6;5;3;4;5;5;6;8;5;5;5;1;1;3;3;2;1;2;3;2;1;3;4;2;2;4;3;1;1;1;2;3;3;2;3;1;1;3;3;2;2;1;2;2;3;1;0;0;0;0;0;0; ;3;2;2;3;3;2;1;0;0;0;1;0;0;0;0;2;2;5;0;5;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;4;4;3;1;10; ;16;1;1;1;2;4;21;7;3;33;10;2;3; ; ;4;2;2;1,13515286179674;1,0674480693941;1,10892817503081;,899178719052851;0
10042;20241124.69462.242;1949; ; ; ;2;1;1; ; ; ; ; ; ; ; ; ; ; ;2;2; ;4; ;8; ; ; ; ; ; ; ; ; ; ; ; ; ;mehr Verkehr Verlust von Kulturland;401;302; ; ; ; ; ;Klimaschädlichkeit durch Mehrverkehr Konkurrenziert den ÖV;500;501;302; ; ; ;2; ;4; ;10; ; ; ; ; ; ; ; ;Mieterrechte werden zu sehr geschwächt;502; ; ;Gefahr der Verteuerung der Mieten;402; ; ; ; ; ;2; ;4; ;7; ; ; ; ; ; ; ; ; ; ;Zuviel Macht für den Vermieter;401; ; ; ; ; ; ;999; ; ; ; ;1;2; ; ;10;Vereinheitlichung der Abrechnungen;506; ; ; ; ;Anstoss zur Sanierung des Gesundheitswesens;406; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;4;6;7;3;8;5;4;8;1;7;5;8;5;7;6;3;1;3;4;3;1;1;3;1;1;1;1;1;1;1;4;4;1;1;1;1;1;1;4;3;1;1;1;1;2;2;1;2;2;2;3;3;2;3;1;0;1;1;0;0;0; ;2;1;2;98;1;1;1;1;1;1;0;0;1;0;0;2;2;9;10;7;0;0;0;0;3;5;0;0;0;0;4;10;0;0;7;0;0;9;3;5;1;1;10; ;2;1;1;2; ; ;33;7;2; ;23; ;2;60;7;9;1;2;,413677393884163;,389004115934388;,404120478298724;,278568260029175;0
10043;20241124.61614.242;1960; ; ; ;2;2;2;0;0;0;1;0;0;0;0;0;0;0;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;4;4;4;5;4;5;6;6;5;5;4;4;4;4;4;5;1;5;5;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;0;1;0;1;0;0;0; ;2;2;3;1;1;2;0;1;1;0;1;0;0;0;0;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8; ;3;1;1;2; ; ;31;7;3;32;10;3;1; ; ;4;2;1;1,3717023482105;1,37783788867092;1,3772151375393;1,37768325918691;0
10045;20241124.58422.242;1986; ; ; ;1;3;1; ; ; ; ; ; ; ; ; ; ; ;9;2; ;4; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ;999; ; ; ; ; ; ; ;998; ; ; ; ; ;1;8; ; ;0; ;999; ; ; ;998; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;2; ;999; ; ; ; ;998; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;6; ;999; ; ; ; ; ;998; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;8;5;0;2;8;0;8;6;2;9;5;2;5;0;0;2;9;6;4;4;8;1;1;2;4;1;2;4;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;98;98;0;0;0;0;0;1;0; ;98;98;98;98;98;98;0;0;0;0;0;0;0;1;0;2;1;0;0;0;7;0;0;5;0;0;0;98;0;0;10;0;3;1;0;2;2;0;2;8;1;1;10; ;9;1;1;1;2;1;52;3; ;33;21;1;1; ; ;10;1;2;,260245687134224;,234272705000664;,243298153321426;,175248126479395;0
10046;20241124.54585.242;1971; ; ; ;1;2;1; ; ; ; ; ; ; ; ; ; ; ;3;1;2; ; ;6; ;999; ; ; ; ; ; ;998; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;6; ;999; ; ; ;998; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;6; ;999; ; ; ; ;998; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;7; ;999; ; ; ; ; ;998; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9;8;5;7;3;8;2;4;3;6;9;5;7;6;6;7;6;6;5;4;5;1;2;2;2;2;2;3;2;2;2;2;3;2;3;3;2;1;2;2;2;2;2;3;2;1;2;3;2;2;3;3;3;2;4;0;0;0;0;0;1;0; ;2;2;3;98;2;2;1;1;1;1;1;1;1;0;0;4;2;8;4;7;6;1;2;3;4;2;6;2;1;2;1;3;3;4;4;3;2;8;6;9;2;1;9; ;3;1;1;1;2;5;51;3; ;32;10;1;1; ; ;15;1;2;,958449841062929;1,01153769114968;,972285452929279;1,16277898248216;0
10049;20241124.50848.242;1976; ; ; ;2;2;2;0;1;0;0;0;0;0;1;0;0;0;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;4;4;4;3;5;4;98;5;4;6;5;5;5;98;7;2;3;3;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4;1;0;0;0;0;0;0; ;98;3;2;98;2;2;1;1;1;1;0;0;1;0;0;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5; ;2;1;1;1;2;2;52;3; ;32;22;2;2;32;3;13;1;2;1,02780135173477;1,03239864413357;1,03193202361949;1,03228278197667;0
10053;20241124.60202.242;1995; ; ; ;1;3;1; ; ; ; ; ; ; ; ; ; ; ;17;3; ; ;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;4;zukünftige Erbschaft;404; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;4;Zukünftige Erbschaft;306; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;5;Verwandte im Gesundheitswesen;904;400; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7;5;2;4;4;4;4;3;3;5;6;8;7;7;4;4;6;4;4;2;8;1;8;4;1;1;2;4;3;2;1;2;3;2;1;3;3;2;1;2;2;2;3;2;3;2;1;2;2;2;2;2;2;2;4;0;1;0;1;0;0;0; ;2;1;2;2;1;2;1;1;1;1;1;1;1;0;0;4;2;7;0;0;8;0;0;0;5;0;0;0;0;0;2;0;2;0;0;0;0;7;0;8;4;1;10; ;4;1;1;1;2;2;51;3; ;33;21;1;1; ; ;15;1;1;3,44925387431433;3,35451541624597;3,35255165580516;3,19047510942239;0
10055;20241124.68801.242;1979; ; ; ;1;2;1; ; ; ; ; ; ; ; ; ; ; ;1;1;4; ; ;8;Reduzierung des Staus entlang der A1;301; ; ; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;4; ;8; ; ; ; ; ; ; ; ;Kein Mehrwert zu bestehenden Gesetzen;300;301; ; ;999; ; ; ; ; ;2; ;4; ;8; ; ; ; ; ; ; ; ; ; ;Kein Mehrwert zu bestehenden Gesetzen;504; ; ; ; ; ; ;999; ; ; ; ;1;2; ; ;8;Dampfung der Steigung der Krankenkassenprämien;503; ; ; ; ; ;999; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8;6;6;6;7;9;5;7;7;9;8;8;8;8;0;9;7;3;5;5;2;1;1;1;1;1;2;2;2;8;3;8;8;8;8;8;8;2;3;8;8;8;8;8;8;2;3;2;2;1;2;8;8;2;3;0;1;1;1;0;0;0; ;2;2;2;4;2;2;0;1;1;0;0;0;1;0;0;2;2;8;6;8;10;0;0;0;5;0;0;0;0;0;0;0;0;0;5;0;0;8;0;8;3;1;10; ;1;1;1;1;2;4;51;3; ;32;10;2;1; ; ;9;1;1;,018584569946221;,0204889381985125;,0197002034871995;,0225465605043765;0
10059;20241124.59307.242;2003; ; ; ;2;2;1; ; ; ; ; ; ; ; ; ; ; ;2;2; ;4; ;10; ; ; ; ; ; ; ; ; ; ; ; ; ;Ich denke nicht, dass es durch den Ausbau weniger Stau gibt. Ich würde eher wie in Schweden, London oder Milano eine Staugebühr einführen. Also das Mobility Pricing System ->  im Ausland klappt es auch! Der Verkehr muss besser verteilt werden über die Tageszeiten nicht über mehr Autobahnen. Oder allgemein das ÖV Netz ausbauen (zB U-Bahn), weil ich selber ein GA habe und Autos fast nie benutze. Wenn dann nehme ich ein Mobility. Ich wohne auf dem Land aber es klappt bei mir auch so.;301;504;204; ; ; ; ;Es würde viel Geld kosten, dass wir besser nutzen könnten. Neue Infrastrukturprojekte, Ausbau des U-Bahn Netzes oder neue Autobahntunnel könnte alles durch die Einnahmen der Staugebühren bezahlt werden! Ich finde es auch nicht gut noch mehr die Unwelt zu belasten durch das ganze Autofahren.;600;504;500; ; ; ;2; ;4; ;8; ; ; ; ; ; ; ; ;Ich bin eine Studentin und diese Vorlage betrifft mich direkt. Die geplanten Änderungen würden Untermietsverträge auf maximal 2 Jahre beschränken.;203; ; ;Ich studiere Architektur und der Fachverein Architektura hat auch empfohlen es abzulehnen.;903; ; ; ; ; ;2; ;4; ;8; ; ; ; ; ; ; ; ; ; ;Es ermöglich Vermietern bei Nichterfüllung eine Kündigung 30 Tage nach der ersten Mahnung zu ermöglichen. Und der Eigenbedarf für Vermieter wird herabgestuft. das führt zu mehr Gentrifizierung. Es bedeutet Unsicherheit für alle.;402;501;404; ; ; ;weil ich Studentin bin und auch hier hat der Fachverein Architektura empfohlen abzulehnen.;203;903; ; ; ;1;1; ; ;5; ;999; ; ; ; ; ;998; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;98;98;7;4;98;98;98;98;98;5;98;98;98;98;98;98;3;4;3;5;2;8;1;4;2;4;1;1;1;1;1;2;4;3;1;1;1;1;1;4;8;8;1;1;1;2;2;8;8;2;8;8;8;98;98;0;0;0;0;0;0;1; ;98;2;2;98;98;1;0;0;1;0;0;0;0;0;0;98;3;0;10;0;0;0;0;0;8;0;7;6;5;4;0;0;6;6;3;98;7;6;3;98;2;1;10; ;2;1;1;2; ; ;33;3; ;32;10;1;4;31;2;98;8;7;,351111815061815;,330170183895729;,343000310717598;,236436916407484;0
10061;20241124.64507.242;1968; ; ; ;2;3;2;0;0;0;1;0;0;0;0;0;0;0;99; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;98;9;9;9;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;98;98;0;0;0;0;0;0;0; ;98;98;98;98;98;98;0;0;1;0;0;0;1;0;0;98; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;98; ;18;1;1;1;9;9;32;3; ;32;21;1;8; ; ;98;2;1; ; ; ; ;1
10064;20241124.55699.242;1983; ; ; ;2;2;2;0;0;0;0;0;0;0;1;0;0;0;16; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8;10;5;2;5;7;7;10;5;98;5;5;5;5;10;5;98;8;8;3;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;98;0;0;1;0;0;0;0; ;98;1;3;98;1;4;1;0;0;0;0;0;1;0;0;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8; ;16;1;1;1;1;2;51;1; ;12;98;1;8; ; ;98;1;2;1,62925688858756;1,63654445470814;1,63580477414086;1,63636079157428;0
10066;20241124.52058.242;1953; ; ; ;1;1;1; ; ; ; ; ; ; ; ; ; ; ;9;2; ;4; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1. Mehr Strassen = mehr Verkehr 2. Das Aufheben eines Engpasses, schafft etwas später einfach einen neuen 2. Wir müssen langsam dazu übergehen, das Bestehende besser und mit anderen Ansätzen zu lösen;302;204;301; ; ; ; ;"Wachstum bremsen. Wir leben auf einem ""endlichen"" Planet, => hier kann man nicht unendlich wachsen...";500; ; ; ; ; ;2; ;4; ;0; ; ; ; ; ; ; ; ;Die Verschlechterung der Position der Mieter;502; ; ;Die Vorlage hätte den Immobilien-Besitzern einen noch längeren Hebel gegeben;502; ; ; ; ; ;2; ;4; ;0; ; ; ; ; ; ; ; ; ; ;Verschlechterung der Position der Mieter;401; ; ; ; ; ;Die Immobilienbranche hätte einen noch längeren Hebel bekommen;900; ; ; ; ;1;2; ; ;10;Es ist richtig dass ambulante und stationöre Leistungen gleich finanziert werden;303;302; ; ; ;Wenn die Kantone mehr Leistungen übernehmen müssen, werden uU die Steuern steigen. Und die Steuern werden nach der Finanzkraft der Leute berechnet. Reiche zahlen mehr Arme zahlen weniger. ME ist das gerechter...;206; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;4;1;4;2;5;4;4;4;4;5;4;5;3;4;2;3;1;3;4;2;1;1;3;1;4;1;2;1;1;1;3;4;4;1;1;2;1;1;4;1;3;1;1;2;1;1;1;8;3;4;8;3;1;3;1;1;0;0;0;0;0; ;2;1;4;4;1;2;1;1;1;1;1;1;1;0;0;2;3;8;8;8;8;3;0;0;6;3;4;98;0;0;8;3;6;2;1;1;1;6;2;8;3;1;10; ;9;1;1;1;1;2;51;7;3;32;10;2;3; ; ;7;1;1;,29511860009303;,277516615174602;,288300670009155;,198731369288171;0
10068;20241124.69109.242;1979; ; ; ;2;1;1; ; ; ; ; ; ; ; ; ; ; ;4;2; ;1; ;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ;999; ; ; ; ; ; ; ;998; ; ; ; ; ;2; ;8; ;5; ; ; ; ; ; ; ; ; ;999; ; ; ;998; ; ; ; ; ;2; ;3; ;4; ; ; ; ; ; ; ; ; ; ; ;999; ; ; ; ; ; ;998; ; ; ; ;1;4; ; ;7; ;999; ; ; ; ; ;998; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7;7;5;5;7;7;5;7;4;5;6;7;5;5;8;7;5;4;6;4;5;2;3;3;3;3;2;2;2;2;3;2;3;2;2;2;2;2;3;2;2;3;3;2;2;1;3;2;2;2;3;3;3;2;4;1;0;0;0;0;0;0; ;2;1;2;2;2;1;1;1;1;0;0;0;1;0;0;2;1;8;8;5;8;8;6;4;9;0;3;5;0;0;0;5;7;0;7;0;0;8;0;8;2;1;5; ;4;2;2;1;2;3;51;3; ;33;10;1;3; ; ;8;1;2;,209182021806239;,196705618109966;,204349427727015;,140862113099335;0
10069;20241124.50811.242;1957; ; ; ;2;2;1; ; ; ; ; ; ; ; ; ; ; ;1;2; ;4; ;5; ; ; ; ; ; ; ; ; ; ; ; ; ;Es soll kein Land verbaut werden für mehr Nationalstrassen;402; ; ; ; ; ; ;"Es darf einfach nicht sein, dass noch mehr Nationalstrassen gebaut werden; ÖV soll gefördert werden";503;504; ; ; ; ;1;4; ; ;10;Ich bin dafür, dass der Vermieter selber entscheiden darf, wen er als Untermieter in seinem Haus wohnen lassen will;501; ; ;Das Recht des Vermieters soll im Vordergrund sein;500; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ;10;Es muss doch einfacher sein Eigenbedarf anzumelden. Jeder Hausbesitzer soll ohne wenn und aber in seinem Haus wohnen dürfen, wann er will!;300;301; ; ;Wenn man ein Haus/Wohnung besitzt soll man nicht durch langjährige mühsame Bürokratie nicht zu seinem Besitz Zugang bekommen!;308; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ;4;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;5;5;3;4;4;4;4;4;9;7;6;4;4;4;4;8;2;5;5;5;1;1;4;4;4;1;1;1;1;1;4;4;2;2;3;3;1;1;1;1;3;4;4;4;8;8;8;8;8;8;8;8;98;98;0;0;0;0;0;0;1; ;3;2;4;4;98;4;1;1;1;1;1;1;1;0;0;4;2;10;7;10;2;0;0;2;0;8;7;7;0;0;0;0;0;0;0;0;0;5;1;6;2;1;10; ;1;1;1;1;2;2;32;7;3;32;22;1;3; ; ;7;2;2;,0727516413236372;,0654908982116431;,0680139608846412;,0526768986129305;0
